id,url,platform,format,product,author,title,excerpt,scenario_tag,language,date,featured_placements,sort,z_index,thumbnail_override,thumbnail_cdn,fetch_date,fetch_status,action_status,like_count,comment_count,author_avatar_cdn
ig-463n7-homelab,https://www.instagram.com/p/DZGUTGAM45Z/,instagram,post,keymod,@463n7,,Just popped this dongle in and launched the app. Full keyboard and touchpad without hunting for a USB cable.,Homelab,en,2026-06-02,keymod,10,10,,https://assets.openterface.com/images/social-posts/ig-463n7-homelab.webp,2026-07-03T06:40:52.741Z,ok,2,45,2,/images/social-posts/avatars/ig-463n7-homelab.jpg
ig-463n7-reel,https://www.instagram.com/463n7/reel/DY7svOSsuXn/,instagram,reel,keymod,@463n7,,First beta test of KeyMod — already looks like a handy homelab companion.,Demo reel,en,2026-05-29,keymod,20,20,,https://assets.openterface.com/images/social-posts/ig-463n7-reel.jpg,2026-07-03T06:40:52.741Z,ok,2,61,2,/images/social-posts/avatars/ig-463n7-reel.jpg
ig-m0use-edc,https://www.instagram.com/p/DZLkGaZAbky/,instagram,post,keymod,@_m0usem0use_,,KeyMod is always in my bag: a full keyboard and trackpad when I need it.,EDC,en,2026-06-04,keymod,30,30,,https://assets.openterface.com/images/social-posts/ig-m0use-edc.jpg,2026-07-03T06:40:52.741Z,ok,2,67,9,/images/social-posts/avatars/ig-m0use-edc.jpg
ig-cybermax560,https://www.instagram.com/reel/DZRsM93P-mU/,instagram,reel,keymod,@cybermax560,,,,en,2026-06-07,keymod,40,40,,https://assets.openterface.com/images/social-posts/ig-cybermax560.jpg,2026-07-03T06:40:52.741Z,ok,2,59,1,/images/social-posts/avatars/ig-cybermax560.jpg
ig-nester-1,https://www.instagram.com/p/DZS5VTIHOLg/,instagram,post,keymod,@nester.3d2a,,Turns your phone into keyboard and touchpad for Pi and portable setups — now a permanent part of my toolkit.,,en,2026-06-07,keymod,50,50,,https://assets.openterface.com/images/social-posts/ig-nester-1.jpg,2026-07-03T06:40:52.742Z,ok,2,519,17,/images/social-posts/avatars/ig-nester-1.jpg
ig-nester-2,https://www.instagram.com/p/DZieZfUnACg/,instagram,post,keymod,@nester.3d2a,,KeyMod is the keyboard and mouse for this mobile RF recon rig — no extra peripherals in the field.,,en,2026-06-13,keymod,60,60,,https://assets.openterface.com/images/social-posts/ig-nester-2.jpg,2026-07-03T06:40:52.742Z,ok,2,94,15,/images/social-posts/avatars/ig-nester-2.jpg
ig-txa-compose,https://www.instagram.com/p/DZNZVbUBBxD/,instagram,post,keymod,@techxartisan,,"Paste on phone, tap Send, and the laptop types it in automatically.",Compose & Send,en,2026-06-05,,70,70,,https://assets.openterface.com/images/social-posts/ig-txa-compose.jpg,2026-07-03T06:40:52.742Z,ok,2,44,0,/images/social-posts/avatars/ig-txa-compose.jpg
ig-txa-gamepad,https://www.instagram.com/p/DY7XsRIBQi6/,instagram,post,keymod,@techxartisan,,"Minecraft with KeyCmd gamepad, demo with KVM-GO. Same mode on KeyMod.",Gamepad,en,,,80,80,,https://assets.openterface.com/images/social-posts/ig-txa-gamepad.jpg,2026-07-03T06:40:52.742Z,ok,2,,,/images/social-posts/avatars/ig-txa-gamepad.jpg
post-bluesky-isa-freeman,https://bsky.app/profile/did:plc:hqzak33sft3uec37owhqhy6a/post/3ljjqt4ak222z,bluesky,post,minikvm,Isa Freeman (@isa.rattleroar.dev),Definitely can recommend the #openterface for a USB KVM,"Definitely can recommend the #openterface for a USB KVM. It's affordable, it does lack some features but it works really well. Plus it's OSS! Used it to recover a few machines the other day after they stopped responding.",,en,2025-03-04,,100,100,https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:hqzak33sft3uec37owhqhy6a/bafkreicpoplzg4k5cm3ccp3uzeztfyhyli55hlrjob2eno6bim3nx5dala,https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:hqzak33sft3uec37owhqhy6a/bafkreicpoplzg4k5cm3ccp3uzeztfyhyli55hlrjob2eno6bim3nx5dala,2026-07-03T03:59:40.621Z,manual,2,,,
post-x-veulx-vga,https://twitter.com/DORA_0907/status/1848736698647351337,x,post,minikvm,Veulx (@DORA_0907),mini-KVMのVGA用のケーブルが届いたので試してみた,mini-KVMのVGA用のケーブルが届いたので試してみた〜 パソコンに接続しただけで使えるのはとてもいい製品！遅延もなく操作しやすい,,ja,2024-10-22,,110,110,https://pbs.twimg.com/media/GagIOmObQAAjGTQ?format=jpg&name=medium,https://pbs.twimg.com/media/GagIOmObQAAjGTQ?format=jpg&name=medium,2026-07-03T03:59:40.621Z,manual,2,,,
